disruption_id,date_key,station_id,line_group,started_at,ended_at,disruption_reason,owner_group,service_impact,delay_minutes,passengers_estimated_impacted
DIS00069,20250421,ST013,Silver,2025-04-21 15:21:00,2025-04-21 16:18:00,Track obstruction,Infrastructure,Minor delay,57,779
DIS00070,20250422,ST006,Silver,2025-04-22 14:44:00,2025-04-22 14:53:00,Power supply restriction,Infrastructure,Moderate delay,9,228
DIS00071,20250423,ST010,Blue / Gold,2025-04-23 17:32:00,2025-04-23 20:42:00,Power supply restriction,Infrastructure,Moderate delay,190,7050
DIS00072,20250425,ST015,Silver,2025-04-25 17:59:00,2025-04-25 20:58:00,Police attendance,External,Minor delay,179,2342
DIS00073,20250426,ST009,Blue,2025-04-26 20:08:00,2025-04-27 00:26:00,Staff shortage,Operations,Moderate delay,258,5181
DIS00074,20250504,ST008,Red,2025-05-04 21:42:00,2025-05-05 02:03:00,Signal failure,Infrastructure,Moderate delay,261,5982
DIS00075,20250505,ST016,Green,2025-05-05 06:05:00,2025-05-05 06:18:00,Planned engineering overrun,Engineering,Minor delay,13,84
DIS00076,20250506,ST013,Silver,2025-05-06 06:46:00,2025-05-06 06:54:00,Signal failure,Infrastructure,Moderate delay,8,104
DIS00077,20250509,ST003,Green / Red,2025-05-09 22:39:00,2025-05-09 23:17:00,Police attendance,External,Moderate delay,38,1086
DIS00078,20250510,ST008,Red,2025-05-10 11:12:00,2025-05-10 11:20:00,Police attendance,External,Partial closure,8,134
DIS00079,20250516,ST010,Blue / Gold,2025-05-16 11:08:00,2025-05-16 11:16:00,Police attendance,External,Severe delay,8,230
DIS00080,20250523,ST011,Gold,2025-05-23 17:40:00,2025-05-23 18:36:00,Track obstruction,Infrastructure,Minor delay,56,518
DIS00081,20250526,ST002,Blue,2025-05-26 07:01:00,2025-05-26 12:24:00,Planned engineering overrun,Engineering,Severe delay,323,8863
DIS00082,20250526,ST005,Green,2025-05-26 07:19:00,2025-05-26 09:15:00,Track obstruction,Infrastructure,Minor delay,116,1473
DIS00083,20250529,ST006,Silver,2025-05-29 12:40:00,2025-05-29 13:02:00,Police attendance,External,Minor delay,22,685
DIS00084,20250529,ST009,Blue,2025-05-29 21:24:00,2025-05-29 21:59:00,Rolling stock fault,Fleet,Minor delay,35,530
DIS00085,20250530,ST002,Blue,2025-05-30 17:22:00,2025-05-30 17:37:00,Signal failure,Infrastructure,Minor delay,15,369
DIS00086,20250530,ST001,Blue / Red,2025-05-30 17:00:00,2025-05-30 17:17:00,Power supply restriction,Infrastructure,Minor delay,17,604
DIS00087,20250530,ST014,Gold,2025-05-30 18:34:00,2025-05-30 19:46:00,Rolling stock fault,Fleet,Severe delay,72,908
DIS00088,20250603,ST002,Blue,2025-06-03 19:23:00,2025-06-03 20:24:00,Rolling stock fault,Fleet,Moderate delay,61,2621
DIS00089,20250607,ST010,Blue / Gold,2025-06-07 18:19:00,2025-06-07 19:07:00,Planned engineering overrun,Engineering,Moderate delay,48,2151
DIS00090,20250611,ST003,Green / Red,2025-06-11 09:33:00,2025-06-11 11:02:00,Rolling stock fault,Fleet,Severe delay,89,1843
DIS00091,20250612,ST004,Green,2025-06-12 05:36:00,2025-06-12 05:44:00,Planned engineering overrun,Engineering,Moderate delay,8,191
DIS00092,20250614,ST010,Blue / Gold,2025-06-14 21:19:00,2025-06-14 21:27:00,Signal failure,Infrastructure,Moderate delay,8,304
DIS00093,20250614,ST011,Gold,2025-06-14 14:46:00,2025-06-14 16:25:00,Staff shortage,Operations,Moderate delay,99,887
DIS00094,20250616,ST006,Silver,2025-06-16 16:19:00,2025-06-16 16:27:00,Severe weather,Weather,Severe delay,8,237
DIS00095,20250620,ST014,Gold,2025-06-20 12:41:00,2025-06-20 13:35:00,Track obstruction,Infrastructure,Moderate delay,54,694
DIS00096,20250623,ST013,Silver,2025-06-23 10:54:00,2025-06-23 11:31:00,Rolling stock fault,Fleet,Minor delay,37,655
DIS00097,20250624,ST004,Green,2025-06-24 12:36:00,2025-06-24 17:57:00,Staff shortage,Operations,Minor delay,321,4521
DIS00098,20250624,ST014,Gold,2025-06-24 19:05:00,2025-06-24 20:15:00,Track obstruction,Infrastructure,Moderate delay,70,1308
DIS00099,20250625,ST015,Silver,2025-06-25 21:17:00,2025-06-25 22:33:00,Planned engineering overrun,Engineering,Minor delay,76,1202
DIS00100,20250630,ST014,Gold,2025-06-30 15:04:00,2025-06-30 19:20:00,Track obstruction,Infrastructure,Moderate delay,256,2882
DIS00101,20250630,ST010,Blue / Gold,2025-06-30 13:24:00,2025-06-30 14:11:00,Planned engineering overrun,Engineering,Severe delay,47,1671
DIS00102,20250710,ST005,Green,2025-07-10 07:10:00,2025-07-10 08:29:00,Track obstruction,Infrastructure,Minor delay,79,676
DIS00103,20250710,ST014,Gold,2025-07-10 11:46:00,2025-07-10 12:30:00,Planned engineering overrun,Engineering,Severe delay,44,433
DIS00104,20250712,ST001,Blue / Red,2025-07-12 05:56:00,2025-07-12 06:21:00,Police attendance,External,Minor delay,25,1035
DIS00105,20250715,ST012,Gold,2025-07-15 17:24:00,2025-07-15 21:36:00,Power supply restriction,Infrastructure,Moderate delay,252,2386
DIS00106,20250718,ST015,Silver,2025-07-18 11:34:00,2025-07-18 11:58:00,Staff shortage,Operations,Severe delay,24,362
DIS00107,20250720,ST006,Silver,2025-07-20 12:33:00,2025-07-20 12:49:00,Power supply restriction,Infrastructure,Minor delay,16,310
DIS00108,20250722,ST002,Blue,2025-07-22 13:13:00,2025-07-22 13:25:00,Power supply restriction,Infrastructure,Minor delay,12,420
DIS00109,20250722,ST002,Blue,2025-07-22 18:35:00,2025-07-22 19:12:00,Signal failure,Infrastructure,Moderate delay,37,1349
DIS00110,20250723,ST008,Red,2025-07-23 21:22:00,2025-07-23 22:30:00,Power supply restriction,Infrastructure,Minor delay,68,1270
DIS00111,20250726,ST001,Blue / Red,2025-07-26 10:24:00,2025-07-26 11:16:00,Rolling stock fault,Fleet,Minor delay,52,2030
DIS00112,20250728,ST015,Silver,2025-07-28 06:02:00,2025-07-28 07:35:00,Staff shortage,Operations,Minor delay,93,1040
DIS00113,20250729,ST013,Silver,2025-07-29 11:35:00,2025-07-29 12:00:00,Power supply restriction,Infrastructure,Moderate delay,25,331
DIS00114,20250730,ST001,Blue / Red,2025-07-30 07:22:00,2025-07-30 13:09:00,Staff shortage,Operations,Moderate delay,347,17132
DIS00115,20250731,ST001,Blue / Red,2025-07-31 20:54:00,2025-07-31 21:02:00,Rolling stock fault,Fleet,Minor delay,8,299
DIS00116,20250801,ST005,Green,2025-08-01 16:25:00,2025-08-01 16:58:00,Staff shortage,Operations,Minor delay,33,401
DIS00117,20250804,ST004,Green,2025-08-04 19:23:00,2025-08-04 19:39:00,Track obstruction,Infrastructure,Minor delay,16,244
DIS00118,20250804,ST001,Blue / Red,2025-08-04 12:13:00,2025-08-04 12:21:00,Power supply restriction,Infrastructure,Moderate delay,8,492
DIS00119,20250805,ST011,Gold,2025-08-05 16:42:00,2025-08-05 17:26:00,Police attendance,External,Moderate delay,44,321
DIS00120,20250805,ST002,Blue,2025-08-05 11:22:00,2025-08-05 12:03:00,Staff shortage,Operations,Moderate delay,41,1022
DIS00121,20250806,ST013,Silver,2025-08-06 08:05:00,2025-08-06 09:12:00,Rolling stock fault,Fleet,Minor delay,67,997
DIS00122,20250809,ST001,Blue / Red,2025-08-09 10:35:00,2025-08-09 11:36:00,Severe weather,Weather,Minor delay,61,2261
DIS00123,20250809,ST001,Blue / Red,2025-08-09 13:41:00,2025-08-09 14:34:00,Power supply restriction,Infrastructure,Partial closure,53,2164
DIS00124,20250809,ST007,Red,2025-08-09 22:19:00,2025-08-09 22:27:00,Police attendance,External,Minor delay,8,212
DIS00125,20250812,ST001,Blue / Red,2025-08-12 09:10:00,2025-08-12 09:43:00,Staff shortage,Operations,Severe delay,33,1180
DIS00126,20250814,ST001,Blue / Red,2025-08-14 12:09:00,2025-08-14 12:20:00,Severe weather,Weather,Minor delay,11,422
DIS00127,20250815,ST002,Blue,2025-08-15 06:15:00,2025-08-15 06:23:00,Police attendance,External,Minor delay,8,265
DIS00128,20250815,ST001,Blue / Red,2025-08-15 12:49:00,2025-08-15 13:33:00,Police attendance,External,Moderate delay,44,3015
DIS00129,20250817,ST005,Green,2025-08-17 18:54:00,2025-08-17 20:06:00,Police attendance,External,Minor delay,72,523
DIS00130,20250819,ST015,Silver,2025-08-19 10:07:00,2025-08-19 10:48:00,Staff shortage,Operations,Moderate delay,41,828
DIS00131,20250820,ST010,Blue / Gold,2025-08-20 06:18:00,2025-08-20 07:39:00,Planned engineering overrun,Engineering,Minor delay,81,3771
DIS00132,20250821,ST015,Silver,2025-08-21 21:50:00,2025-08-21 22:40:00,Staff shortage,Operations,Minor delay,50,756
DIS00133,20250826,ST014,Gold,2025-08-26 19:58:00,2025-08-26 21:28:00,Power supply restriction,Infrastructure,Moderate delay,90,958
DIS00134,20250827,ST003,Green / Red,2025-08-27 11:37:00,2025-08-27 13:15:00,Track obstruction,Infrastructure,Minor delay,98,2541
DIS00135,20250902,ST005,Green,2025-09-02 08:05:00,2025-09-02 08:36:00,Police attendance,External,Moderate delay,31,263
DIS00136,20250905,ST006,Silver,2025-09-05 22:22:00,2025-09-06 00:14:00,Power supply restriction,Infrastructure,Moderate delay,112,2932
DIS00137,20250906,ST006,Silver,2025-09-06 21:27:00,2025-09-06 22:52:00,Rolling stock fault,Fleet,Minor delay,85,2685
DIS00138,20250906,ST005,Green,2025-09-06 20:26:00,2025-09-06 21:09:00,Police attendance,External,Minor delay,43,427
DIS00139,20250910,ST002,Blue,2025-09-10 08:12:00,2025-09-10 10:09:00,Planned engineering overrun,Engineering,Minor delay,117,3403
DIS00140,20250912,ST003,Green / Red,2025-09-12 05:43:00,2025-09-12 06:57:00,Power supply restriction,Infrastructure,Moderate delay,74,1943
DIS00141,20250915,ST016,Green,2025-09-15 11:32:00,2025-09-15 12:37:00,Rolling stock fault,Fleet,Minor delay,65,545
DIS00142,20250917,ST010,Blue / Gold,2025-09-17 07:21:00,2025-09-17 08:18:00,Planned engineering overrun,Engineering,Minor delay,57,2774
DIS00143,20250918,ST009,Blue,2025-09-18 21:13:00,2025-09-18 21:48:00,Track obstruction,Infrastructure,Severe delay,35,714
DIS00144,20250920,ST015,Silver,2025-09-20 14:13:00,2025-09-20 14:24:00,Signal failure,Infrastructure,Severe delay,11,120
DIS00145,20250920,ST001,Blue / Red,2025-09-20 09:27:00,2025-09-20 09:35:00,Planned engineering overrun,Engineering,Minor delay,8,444
DIS00146,20250921,ST015,Silver,2025-09-21 22:59:00,2025-09-22 00:00:00,Police attendance,External,Moderate delay,61,820
DIS00147,20250922,ST010,Blue / Gold,2025-09-22 16:35:00,2025-09-22 16:51:00,Signal failure,Infrastructure,Minor delay,16,448
DIS00148,20250924,ST006,Silver,2025-09-24 18:52:00,2025-09-24 19:01:00,Planned engineering overrun,Engineering,Moderate delay,9,178
DIS00149,20250924,ST013,Silver,2025-09-24 13:10:00,2025-09-24 14:28:00,Staff shortage,Operations,Moderate delay,78,1251
DIS00150,20250924,ST015,Silver,2025-09-24 14:39:00,2025-09-24 16:23:00,Planned engineering overrun,Engineering,Moderate delay,104,1364
DIS00151,20250925,ST010,Blue / Gold,2025-09-25 18:25:00,2025-09-25 19:59:00,Rolling stock fault,Fleet,Moderate delay,94,3042
DIS00152,20250929,ST012,Gold,2025-09-29 08:58:00,2025-09-29 10:10:00,Track obstruction,Infrastructure,Moderate delay,72,635
DIS00153,20251001,ST007,Red,2025-10-01 10:58:00,2025-10-01 11:50:00,Staff shortage,Operations,Minor delay,52,832
DIS00154,20251001,ST007,Red,2025-10-01 13:33:00,2025-10-01 13:41:00,Severe weather,Weather,Minor delay,8,182
DIS00155,20251010,ST007,Red,2025-10-10 12:35:00,2025-10-10 12:43:00,Rolling stock fault,Fleet,Severe delay,8,203
DIS00156,20251012,ST008,Red,2025-10-12 12:55:00,2025-10-12 13:03:00,Power supply restriction,Infrastructure,Moderate delay,8,141
DIS00157,20251013,ST014,Gold,2025-10-13 17:21:00,2025-10-13 18:03:00,Staff shortage,Operations,Severe delay,42,466
DIS00158,20251013,ST001,Blue / Red,2025-10-13 20:40:00,2025-10-13 20:48:00,Rolling stock fault,Fleet,Moderate delay,8,349
DIS00159,20251013,ST007,Red,2025-10-13 17:15:00,2025-10-13 18:24:00,Rolling stock fault,Fleet,Minor delay,69,1080
DIS00160,20251015,ST010,Blue / Gold,2025-10-15 05:14:00,2025-10-15 05:22:00,Staff shortage,Operations,Moderate delay,8,326
DIS00161,20251015,ST008,Red,2025-10-15 19:40:00,2025-10-15 20:26:00,Staff shortage,Operations,Moderate delay,46,878
DIS00162,20251016,ST007,Red,2025-10-16 13:56:00,2025-10-16 17:31:00,Planned engineering overrun,Engineering,Minor delay,215,4412
DIS00163,20251018,ST009,Blue,2025-10-18 09:34:00,2025-10-18 11:15:00,Track obstruction,Infrastructure,Minor delay,101,1646
DIS00164,20251021,ST001,Blue / Red,2025-10-21 12:57:00,2025-10-21 13:30:00,Rolling stock fault,Fleet,Moderate delay,33,1499
DIS00165,20251024,ST001,Blue / Red,2025-10-24 13:26:00,2025-10-24 16:04:00,Staff shortage,Operations,Moderate delay,158,10550
DIS00166,20251024,ST010,Blue / Gold,2025-10-24 09:54:00,2025-10-24 10:57:00,Power supply restriction,Infrastructure,Minor delay,63,2052
DIS00167,20251026,ST003,Green / Red,2025-10-26 14:40:00,2025-10-26 16:02:00,Rolling stock fault,Fleet,Moderate delay,82,1638
DIS00168,20251026,ST008,Red,2025-10-26 11:33:00,2025-10-26 11:56:00,Staff shortage,Operations,Minor delay,23,414
DIS00169,20251027,ST004,Green,2025-10-27 12:44:00,2025-10-27 12:52:00,Signal failure,Infrastructure,Moderate delay,8,124
DIS00170,20251028,ST007,Red,2025-10-28 05:03:00,2025-10-28 05:24:00,Staff shortage,Operations,Severe delay,21,347
DIS00171,20251029,ST003,Green / Red,2025-10-29 15:38:00,2025-10-29 15:46:00,Police attendance,External,Moderate delay,8,190
DIS00172,20251030,ST004,Green,2025-10-30 19:10:00,2025-10-30 19:35:00,Rolling stock fault,Fleet,Minor delay,25,301
DIS00173,20251101,ST001,Blue / Red,2025-11-01 07:08:00,2025-11-01 07:20:00,Staff shortage,Operations,Minor delay,12,520
DIS00174,20251102,ST010,Blue / Gold,2025-11-02 18:12:00,2025-11-02 18:37:00,Planned engineering overrun,Engineering,Minor delay,25,894
DIS00175,20251104,ST006,Silver,2025-11-04 09:30:00,2025-11-04 11:07:00,Severe weather,Weather,Minor delay,97,2583
DIS00176,20251104,ST014,Gold,2025-11-04 18:07:00,2025-11-04 19:36:00,Staff shortage,Operations,Moderate delay,89,849
DIS00177,20251104,ST001,Blue / Red,2025-11-04 07:38:00,2025-11-04 08:10:00,Track obstruction,Infrastructure,Severe delay,32,2239
DIS00178,20251112,ST007,Red,2025-11-12 09:02:00,2025-11-12 10:21:00,Track obstruction,Infrastructure,Minor delay,79,2178
DIS00179,20251113,ST002,Blue,2025-11-13 16:04:00,2025-11-13 16:12:00,Power supply restriction,Infrastructure,Minor delay,8,331
DIS00180,20251115,ST015,Silver,2025-11-15 10:26:00,2025-11-15 12:10:00,Power supply restriction,Infrastructure,Minor delay,104,1757
DIS00181,20251117,ST015,Silver,2025-11-17 13:51:00,2025-11-17 13:59:00,Staff shortage,Operations,Partial closure,8,112
DIS00182,20251118,ST015,Silver,2025-11-18 11:33:00,2025-11-18 11:58:00,Power supply restriction,Infrastructure,Partial closure,25,327
DIS00183,20251119,ST012,Gold,2025-11-19 21:30:00,2025-11-19 21:38:00,Rolling stock fault,Fleet,Severe delay,8,66
DIS00184,20251120,ST008,Red,2025-11-20 10:59:00,2025-11-20 11:07:00,Signal failure,Infrastructure,Moderate delay,8,130
DIS00185,20251121,ST006,Silver,2025-11-21 19:15:00,2025-11-21 20:41:00,Track obstruction,Infrastructure,Minor delay,86,2842
DIS00186,20251122,ST004,Green,2025-11-22 11:17:00,2025-11-22 12:29:00,Rolling stock fault,Fleet,Moderate delay,72,1284
DIS00187,20251125,ST002,Blue,2025-11-25 08:37:00,2025-11-25 08:45:00,Power supply restriction,Infrastructure,Minor delay,8,370
DIS00188,20251201,ST010,Blue / Gold,2025-12-01 18:43:00,2025-12-01 18:51:00,Police attendance,External,Severe delay,8,311
DIS00189,20251201,ST008,Red,2025-12-01 13:35:00,2025-12-01 13:58:00,Rolling stock fault,Fleet,Minor delay,23,521
DIS00190,20251204,ST014,Gold,2025-12-04 09:44:00,2025-12-04 10:26:00,Track obstruction,Infrastructure,Minor delay,42,772
DIS00191,20251206,ST013,Silver,2025-12-06 18:58:00,2025-12-06 22:34:00,Power supply restriction,Infrastructure,Moderate delay,216,4389
DIS00192,20251207,ST005,Green,2025-12-07 13:18:00,2025-12-07 13:26:00,Police attendance,External,Minor delay,8,60
DIS00193,20251208,ST002,Blue,2025-12-08 18:38:00,2025-12-08 19:00:00,Planned engineering overrun,Engineering,Moderate delay,22,933
DIS00194,20251213,ST001,Blue / Red,2025-12-13 08:32:00,2025-12-13 09:25:00,Rolling stock fault,Fleet,Severe delay,53,2737
DIS00195,20251213,ST008,Red,2025-12-13 18:32:00,2025-12-13 18:44:00,Severe weather,Weather,Moderate delay,12,209
DIS00196,20251214,ST005,Green,2025-12-14 09:16:00,2025-12-14 10:37:00,Severe weather,Weather,Minor delay,81,595
DIS00197,20251216,ST015,Silver,2025-12-16 20:29:00,2025-12-16 21:55:00,Rolling stock fault,Fleet,Minor delay,86,1034
DIS00198,20251216,ST015,Silver,2025-12-16 07:56:00,2025-12-16 09:45:00,Power supply restriction,Infrastructure,Minor delay,109,1481
DIS00199,20251216,ST012,Gold,2025-12-16 06:02:00,2025-12-16 07:10:00,Track obstruction,Infrastructure,Moderate delay,68,728
DIS00200,20251219,ST001,Blue / Red,2025-12-19 16:41:00,2025-12-19 17:12:00,Track obstruction,Infrastructure,Minor delay,31,1306
DIS00201,20251222,ST010,Blue / Gold,2025-12-22 07:45:00,2025-12-22 07:57:00,Police attendance,External,Moderate delay,12,561
DIS00202,20251227,ST001,Blue / Red,2025-12-27 18:03:00,2025-12-27 22:05:00,Track obstruction,Infrastructure,Moderate delay,242,11750
DIS00203,20251227,ST009,Blue,2025-12-27 09:30:00,2025-12-27 10:23:00,Staff shortage,Operations,Partial closure,53,905
